original_index_1,original_index_2,title1,title2,ratio,token_sort,token_set,final_score,year1,year2,doi1,doi2,source1,source2
72641,72661,Machine Learning-Based Staging of Non-Alcoholic Fatty Liver Disease: A Sri Lankan Case Study,Machine Learning-Based Staging of Non-Alcoholic Fatty Liver Disease: A Sri Lankan Case Study,100.0,100.0,100.0,100.0,2026.0,2026.0,10.5281/zenodo.20896194,10.5281/zenodo.20696326,openalex,openalex
9193,70349,Living with haemodialysis in Sri Lanka: a qualitative study on patient adaptation and care perceptions,Living with haemodialysis in Sri Lanka: a qualitative study on patient adaptation and care perceptions,100.0,100.0,100.0,100.0,2026.0,2026.0,10.1186/s12882-025-04728-6,10.6084/m9.figshare.c.8236923.v1,openalex; crossref,openalex
72568,72578,"Human Civilization: Beverages, Health and Religious Dimensions in World History","Human Civilization: Beverages, Health and Religious Dimensions in World History",100.0,100.0,100.0,100.0,2026.0,2026.0,10.5281/zenodo.20805305,10.5281/zenodo.20806139,openalex,openalex
71357,71360,"Dynamical Dark Energy from Axial Torsion–Scalar Mixing in Einstein–Cartan Cosmology: Gravastar Structure, Cyclic Reset, and Falsifiable Predictions","Dynamical Dark Energy from Axial Torsion–Scalar Mixing in Einstein–Cartan Cosmology: Gravastar Structure, Cyclic Reset, and Falsifiable Predictions",100.0,100.0,100.0,100.0,2026.0,2026.0,10.5281/zenodo.19245346,10.5281/zenodo.19245345,openalex,openalex
72446,65117,Cross-species transmission of host adaptation of feline leukemia virus between domestic cats and the wild felid Leopardus guigna,Cross-species transmission of host adaptation of feline leukemia virus between domestic cats and the wild felid Leopardus guigna,100.0,100.0,100.0,100.0,2026.0,2026.0,10.6084/m9.figshare.c.8535314.v1,10.1186/s13567-026-01770-6,openalex,openalex; crossref
62087,71156,Artificial Intelligence and Automation in Hospital Administrative Systems: A Scoping Review,Artificial Intelligence and Automation in Hospital Administrative Systems: A Scoping Review,100.0,100.0,100.0,100.0,2026.0,2026.0,10.47191/ijcsrr/v9-i3-09,10.5281/zenodo.18856290,openalex; crossref,openalex
72677,72668,An Evaluation of Machine Learning Based Traffic Flow Prediction for Adaptive Traffic Signal Control In Urban Intersections,An Evaluation of Machine Learning Based Traffic Flow Prediction for Adaptive Traffic Signal Control In Urban Intersections,100.0,100.0,100.0,100.0,2026.0,2026.0,10.5281/zenodo.20702498,10.5281/zenodo.20702497,openalex,openalex
70682,70690,Additional file 2 of Effectiveness of a behaviour change intervention on health literacy for behavioural risk factors of non-communicable diseases among health care assistants of government hospitals in Colombo District: a cluster-randomized controlled trial,Additional file 2 of Effectiveness of a behaviour change intervention on health literacy for behavioural risk factors of non-communicable diseases among health care assistants of government hospitals in Colombo District: a cluster-randomized controlled trial,100.0,100.0,100.0,100.0,2026.0,2026.0,10.6084/m9.figshare.31237692.v1,10.6084/m9.figshare.31237692,openalex,openalex
72476,72486,Additional file 1 of “It’s never just one thing”: understanding risk factors for sports injuries in track and field,Additional file 1 of “It’s never just one thing”: understanding risk factors for sports injuries in track and field,100.0,100.0,100.0,100.0,2026.0,2026.0,10.6084/m9.figshare.32693191.v1,10.6084/m9.figshare.32693191,openalex,openalex
149181,95646,"A PRELIMINARY STUDY TO DETERMINE THE EFFICACY OF A NEMATOPHAGOUS FUNGUS, ARTHROBOTRYS OLIGOSPORA, AGAINST NEMATODE LARVAE IN CATTLE AND GOAT DUNG","A preliminary study to determine the efficacy of a nematophagous fungus, Arthrobotrys oligospora, against nematode larvae in cattle and goat dung",100.0,100.0,100.0,100.0,2004.0,2004.0,10.4038/jnsfsr.v32i1-2.2422,,sljol; repositories_combined,repositories_combined
