institution_id,preferred_name,alternative_name,country_code,ror_id,parent_institution_id
SG001,National University of Singapore,National University of Singapore,SG,,
SG001,National University of Singapore,NUS,SG,,
SG002,Nanyang Technological University,Nanyang Technological University,SG,,
SG002,Nanyang Technological University,NTU,SG,,
SG003,Singapore Management University,Singapore Management University,SG,,
SG003,Singapore Management University,SMU,SG,,
SG004,Singapore University of Technology and Design,Singapore University of Technology and Design,SG,,
SG004,Singapore University of Technology and Design,SUTD,SG,,
SG005,Singapore Institute of Technology,Singapore Institute of Technology,SG,,
SG005,Singapore Institute of Technology,SIT,SG,,
SG006,Singapore University of Social Sciences,Singapore University of Social Sciences,SG,,
SG006,Singapore University of Social Sciences,SUSS,SG,,
SG007,Agency for Science Technology and Research,Agency for Science Technology and Research,SG,,
SG007,Agency for Science Technology and Research,A*STAR,SG,,
SG008,Duke-NUS Medical School,Duke-NUS Medical School,SG,,
SG009,National Institute of Education,National Institute of Education,SG,,
SG009,National Institute of Education,NIE,SG,,
