institution_id,preferred_name,alternative_name,country_code,ror_id,parent_institution_id
LK001,University of Colombo,University of Colombo,LK,,
LK001,University of Colombo,UOC,LK,,
LK002,University of Peradeniya,University of Peradeniya,LK,,
LK002,University of Peradeniya,PDN,LK,,
LK003,University of Moratuwa,University of Moratuwa,LK,,
LK003,University of Moratuwa,UOM,LK,,
LK004,University of Jaffna,University of Jaffna,LK,,
LK004,University of Jaffna,JFN,LK,,
LK005,Bhiksu University of Sri Lanka,Bhiksu University of Sri Lanka,LK,,
LK005,Bhiksu University of Sri Lanka,Bhiksu University Of Sri Lanka Anuradhapura,LK,,
LK006,National Science Foundation,National Science Foundation,LK,,
LK006,National Science Foundation,NSF,LK,,
LK007,Sri Lanka Institute of Information Technology,Sri Lanka Institute of Information Technology,LK,,
LK007,Sri Lanka Institute of Information Technology,SLIIT,LK,,
LK008,University of Ruhuna,University of Ruhuna,LK,,
LK008,University of Ruhuna,RUH,LK,,
LK009,South Eastern University of Sri Lanka,South Eastern University of Sri Lanka,LK,,
LK009,South Eastern University of Sri Lanka,SEU,LK,,
LK010,Uva Wellassa University,Uva Wellassa University,LK,,
LK010,Uva Wellassa University,UWU,LK,,
