position,column,role,present_rows,missing_rows,coverage_pct,missing_pct,distinct_values,multivalue_rows,multivalue_present_pct,min_length,max_length,examples
1,source_dataset,metadata,129512,0,100.0,0.0,14,74740,57.71,8,48,openalex; crossref | openalex; crossref; repositories_combined | crossref
2,source_institution_id,metadata,70112,59400,54.14,45.86,39,499,0.71,3,43,sliit | ruh | uom
3,source_record_id,metadata,129512,0,100.0,0.0,129512,66034,50.99,16,345,https://openalex.org/W4238110074; 10.1002/9781118663219.wbegss081 | https://openalex.org/W2921121004; 10.1002/9781118663219.wbegss631 | https://openalex.org/W4200471318; 10.1002/9781119009924.eopr0063
4,source_datestamp,date,70112,59400,54.14,45.86,60188,789,1.13,20,249,2026-02-15T05:19:04Z | 2026-02-15T05:13:38Z | 2026-02-15T05:22:08Z
5,openalex_id,identifier,73257,56255,56.56,43.44,73257,0,0.0,30,32,https://openalex.org/W4238110074 | https://openalex.org/W2921121004 | https://openalex.org/W4200471318
6,doi,identifier,82453,47059,63.66,36.34,82453,0,0.0,9,160,10.1002/9781118663219.wbegss081 | 10.1002/9781118663219.wbegss631 | 10.1002/9781119009924.eopr0063
7,url,identifier,129174,338,99.74,0.26,128652,4,0.0,11,362,https://doi.org/10.1002/9781118663219.wbegss081 | https://doi.org/10.1002/9781118663219.wbegss631 | https://doi.org/10.1002/9781119009924.eopr0063
8,pdf_url,identifier,30609,98903,23.63,76.37,30608,1,0.0,28,1054,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/9781119811749.ch16 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/9781119857839.ch8 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/9781119867333.ch14
9,title,text,129424,88,99.93,0.07,119416,1479,1.14,1,4776,Cohabitation and Ekageikama in the Kandyan Kingdom (Sri Lanka) | Islam and Gender | Buddhism
10,abstract,text,70437,59075,54.39,45.61,66657,10965,15.57,1,26749,Cohabitation refers to a living arrangement where an unmarried couple lives t... | Gender and sexuality in the Muslim world is decided both on interpretations o... | In this study Buddhism is presented from a point of view of the Buddha's own ...
11,keywords,text,49123,80389,37.93,62.07,42507,44763,91.12,2,1455,hemosmart; non-invasive device; mobile app; anemia detection | smart parking; machine learning; internet of things; convolutional neural net... | empirical study; paddy harvest; rice demand; prediction; optimal distribution...
12,publication_year,numeric,129512,0,100.0,0.0,11,0,0.0,4,4,2016 | 2021 | 2017
13,publication_date,date,129512,0,100.0,0.0,3935,0,0.0,4,10,2016-04-21 | 2021-11-16 | 2017-07-21
14,type,category,129020,492,99.62,0.38,95,0,0.0,4,40,reference-entry | other | article
15,authors,multi_value,128427,1085,99.16,0.84,105124,97506,75.92,1,46257,Kalinga Tudor Silva | Farzana Haniffa | Asanga Tilakaratne
16,author_count,numeric,73257,56255,56.56,43.44,96,0,0.0,1,3,1 | 3 | 5
17,author_affiliations,metadata,73264,56248,56.57,43.43,34295,47856,65.32,14,36603,University of Peradeniya | University of Colombo | National Institute of Fundamental Studies
18,author_orcids,metadata,21659,107853,16.72,83.28,16565,10983,50.71,37,11074,https://orcid.org/0000-0002-7517-0894 | https://orcid.org/0000-0002-2506-2748 | https://orcid.org/0009-0003-2921-5451
19,sri_lankan_authors,metadata,73256,56256,56.56,43.44,52713,44063,60.15,3,938,Kalinga Tudor Silva | Farzana Haniffa | Asanga Tilakaratne
20,contributors,metadata,6508,123004,5.03,94.97,1434,2962,45.51,6,1838,"Pasindu, HR; Bandara, S; Mampearachchi, WK; Fwa, TF | Maqsood, Sajid; Naseer, Muhammad N.; Benjakul, Soottawat; Zaidi, Asad A. | Wijesiriwardana, CP"
21,institutions,multi_value,73257,56255,56.56,43.44,26211,41246,56.3,14,4335,University of Peradeniya | University of Colombo | National Institute of Fundamental Studies
22,sri_lankan_institutions,metadata,73257,56255,56.56,43.44,3445,14737,20.12,7,350,University of Peradeniya | University of Colombo | National Institute of Fundamental Studies
23,countries,multi_value,73257,56255,56.56,43.44,6260,31609,43.15,2,326,LK | LK; UG | LK; GB
24,publisher,metadata,119218,10294,92.05,7.95,6035,46,0.04,1,251,Wiley | Elsevier BV | Springer Nature
25,journal,metadata,80245,49267,61.96,38.04,14505,248,0.31,2,478,The Wiley Blackwell Encyclopedia of Gender and Sexuality Studies | The Encyclopedia of Philosophy of Religion | Biofilms in Plant and Soil Health
26,source_type,category,119838,9674,92.53,7.47,5,0,0.0,7,14,journal | repository | book series
27,issn,identifier,52166,77346,40.28,59.72,11647,25921,49.69,9,31,2352-7714 | 1932-1031; 1932-104X | 2050-0904
28,issn_l,identifier,52166,77346,40.28,59.72,11384,27,0.05,9,20,2352-7714 | 1932-1031 | 2050-0904
29,volume,metadata,48175,81337,37.2,62.8,1224,0,0.0,1,17,11 | 14 | 47
30,issue,metadata,38148,91364,29.46,70.54,558,0,0.0,1,30,4 | 16 | 1
31,first_page,metadata,55472,74040,42.83,57.17,11869,0,0.0,1,26,1 | 327 | 65
32,last_page,metadata,55431,74081,42.8,57.2,11816,0,0.0,1,17,3 | 5 | 11
33,article_number,metadata,10150,119362,7.84,92.16,7626,0,0.0,1,30,bbb.70178 | e7234 | e72478
34,language,category,129512,0,100.0,0.0,50,0,0.0,2,7,en | lt | bg
35,license,category,34871,94641,26.92,73.08,9,0,0.0,5,21,other-oa | cc-by-nc-sa | cc-by-nc
36,license_url,metadata,40275,89237,31.1,68.9,350,17063,42.37,27,331,https://doi.wiley.com/10.1002/tdm_license_1.1 | https://creativecommons.org/licenses/by-nc/4.0/; http://doi.wiley.com/10.1002... | https://creativecommons.org/licenses/by-nc-nd/4.0/
37,oa_status,category,129512,0,100.0,0.0,7,0,0.0,4,7,closed | gold | hybrid
38,is_oa,category,73257,56255,56.56,43.44,2,0,0.0,4,5,False | True
39,citation_count,numeric,73312,56200,56.61,43.39,418,0,0.0,1,5,0 | 2 | 6
40,reference_count,numeric,73312,56200,56.61,43.39,386,0,0.0,1,4,4 | 13 | 6
41,concepts,multi_value,73156,56356,56.49,43.51,70721,72534,99.15,3,857,Cohabitation; Polygyny; Kinship; Caste; Population; Wife; Urbanization; Socio... | Islam; Middle East; Modernization theory; Narrative; Fiqh; Humanity; Muslim w... | Gautama Buddha; Buddhism; Virtue; Philosophy; Soul; Doctrine; Epistemology; S...
42,topics,multi_value,71783,57729,55.43,44.57,52427,63263,88.13,14,232,Asian Studies and History; Demographic Trends and Gender Preferences | Islamic Studies and History; Jewish and Middle Eastern Studies; Multicultural... | Indian and Buddhist Studies; Indian History and Philosophy
43,primary_topic,metadata,71783,57729,55.43,44.57,3783,0,0.0,14,83,Asian Studies and History | Islamic Studies and History | Indian and Buddhist Studies
44,primary_field,metadata,71783,57729,55.43,44.57,26,0,0.0,6,44,Social Sciences | Arts and Humanities | Environmental Science
45,primary_subfield,metadata,71783,57729,55.43,44.57,240,0,0.0,3,53,Sociology and Political Science | Political Science and International Relations | Religious studies
46,primary_domain,metadata,71783,57729,55.43,44.57,4,0,0.0,13,17,Social Sciences | Physical Sciences | Life Sciences
47,funder_name,metadata,10712,118800,8.27,91.73,6482,4398,41.06,1,7272,Japanese Society for Alternatives to Animal Experiments | International Center for Integrated Mountain Development | Agricultural Research Organization; Japanese Society of Promotion Science
48,funder_doi,metadata,8474,121038,6.54,93.46,3794,3135,37.0,10,2244,10.13039/100008968 | 10.13039/100005156; 10.13039/100007364; 10.13039/100010661; 10.13039/50110000... | 10.13039/501100008982
49,funder_identifier,metadata,8510,121002,6.57,93.43,3855,3185,37.43,10,2244,10.13039/100008968 | 10.13039/100005156; 10.13039/100007364; 10.13039/100010661; 10.13039/50110000... | 10.13039/501100008982
50,funder_award,metadata,7328,122184,5.66,94.34,6085,2986,40.75,1,1284,AHEAD/DOR/STEM/ Grant number 33 | 22-95 | ['11-11'; ['RG/2011/EQ/16'
51,source_set_specs,metadata,28722,100790,22.18,77.82,1646,28722,100.0,23,296,com_123456789_4197; col_123456789_4200 | com_123456789_4202; com_123456789_4195; com_123456789_4194; col_123456789_1253 | com_123456789_4202; com_123456789_4195; com_123456789_4194; col_123456789_1022
52,raw_identifiers,metadata,70112,59400,54.14,45.86,70112,50469,71.98,27,1193,https://rda.sliit.lk/handle/123456789/1812; 10.1002/9781119711308.ch3 | 978-1-119-71108-7; https://rda.sliit.lk/handle/123456789/1811; 10.1002/978111... | 978-1-119-76047-4; https://rda.sliit.lk/handle/123456789/2815; 10.1002/978111...
53,citation_count_difference_oa_minus_crossref,numeric,65891,63621,50.88,49.12,1,0,0.0,1,1,0
54,citation_count_divergence_flag,metadata,65891,63621,50.88,49.12,1,0,0.0,5,5,False
55,reference_count_difference_oa_minus_crossref,numeric,65891,63621,50.88,49.12,16,0,0.0,1,3,0 | -2 | -14
56,reference_count_divergence_flag,metadata,65891,63621,50.88,49.12,2,0,0.0,4,5,False | True
57,title_search_text,metadata,129424,88,99.93,0.07,116949,1479,1.14,1,4776,cohabitation and ekageikama in the kandyan kingdom (sri lanka) | islam and gender | buddhism
58,abstract_search_text,metadata,70437,59075,54.39,45.61,66623,10965,15.57,1,26749,cohabitation refers to a living arrangement where an unmarried couple lives t... | gender and sexuality in the muslim world is decided both on interpretations o... | in this study buddhism is presented from a point of view of the buddha's own ...
59,abstract_missing_flag,metadata,129512,0,100.0,0.0,2,0,0.0,4,5,False | True
60,keywords_search_text,metadata,49123,80389,37.93,62.07,42507,44763,91.12,2,1455,hemosmart; non-invasive device; mobile app; anemia detection | smart parking; machine learning; internet of things; convolutional neural net... | empirical study; paddy harvest; rice demand; prediction; optimal distribution...
61,funder_name_missing_flag,metadata,129512,0,100.0,0.0,2,0,0.0,4,5,True | False
62,funder_doi_missing_flag,metadata,129512,0,100.0,0.0,2,0,0.0,4,5,True | False
63,funder_identifier_missing_flag,metadata,129512,0,100.0,0.0,2,0,0.0,4,5,True | False
64,funder_award_missing_flag,metadata,129512,0,100.0,0.0,2,0,0.0,4,5,True | False
65,license_missing_flag,metadata,129512,0,100.0,0.0,2,0,0.0,4,5,True | False
66,license_url_missing_flag,metadata,129512,0,100.0,0.0,2,0,0.0,4,5,False | True
67,pdf_url_missing_flag,metadata,129512,0,100.0,0.0,2,0,0.0,4,5,True | False
68,author_orcids_missing_flag,metadata,129512,0,100.0,0.0,2,0,0.0,4,5,True | False
69,article_number_missing_flag,metadata,129512,0,100.0,0.0,2,0,0.0,4,5,True | False
70,authors_clean,metadata,128427,1085,99.16,0.84,104408,97440,75.87,1,46257,Kalinga Tudor Silva | Farzana Haniffa | Asanga Tilakaratne
71,author_disambiguation_available_flag,metadata,129512,0,100.0,0.0,2,0,0.0,4,5,False | True
