source_type,column,rows,present_rows,coverage_pct
book series,source_dataset,2047,2047,100.0
book series,source_institution_id,2047,72,3.52
book series,source_record_id,2047,2047,100.0
book series,source_datestamp,2047,72,3.52
book series,openalex_id,2047,2047,100.0
book series,doi,2047,2047,100.0
book series,url,2047,2047,100.0
book series,pdf_url,2047,62,3.03
book series,title,2047,2047,100.0
book series,abstract,2047,369,18.03
book series,keywords,2047,71,3.47
book series,publication_year,2047,2047,100.0
book series,publication_date,2047,2047,100.0
book series,type,2047,2047,100.0
book series,authors,2047,2047,100.0
book series,author_count,2047,2047,100.0
book series,author_affiliations,2047,2047,100.0
book series,author_orcids,2047,448,21.89
book series,sri_lankan_authors,2047,2047,100.0
book series,contributors,2047,11,0.54
book series,institutions,2047,2047,100.0
book series,sri_lankan_institutions,2047,2047,100.0
book series,countries,2047,2047,100.0
book series,publisher,2047,2047,100.0
book series,journal,2047,2047,100.0
book series,source_type,2047,2047,100.0
book series,issn,2047,2023,98.83
book series,issn_l,2047,2023,98.83
book series,volume,2047,144,7.03
book series,issue,2047,9,0.44
book series,first_page,2047,1993,97.36
book series,last_page,2047,1993,97.36
book series,article_number,2047,6,0.29
book series,language,2047,2047,100.0
book series,license,2047,127,6.2
book series,license_url,2047,1804,88.13
book series,oa_status,2047,2047,100.0
book series,is_oa,2047,2047,100.0
book series,citation_count,2047,2047,100.0
book series,reference_count,2047,2047,100.0
book series,concepts,2047,2047,100.0
book series,topics,2047,2045,99.9
book series,primary_topic,2047,2045,99.9
book series,primary_field,2047,2045,99.9
book series,primary_subfield,2047,2045,99.9
book series,primary_domain,2047,2045,99.9
book series,funder_name,2047,4,0.2
book series,funder_doi,2047,4,0.2
book series,funder_identifier,2047,4,0.2
book series,funder_award,2047,3,0.15
book series,source_set_specs,2047,60,2.93
book series,raw_identifiers,2047,72,3.52
book series,citation_count_difference_oa_minus_crossref,2047,2037,99.51
book series,citation_count_divergence_flag,2047,2037,99.51
book series,reference_count_difference_oa_minus_crossref,2047,2037,99.51
book series,reference_count_divergence_flag,2047,2037,99.51
book series,title_search_text,2047,2047,100.0
book series,abstract_search_text,2047,369,18.03
book series,abstract_missing_flag,2047,2047,100.0
book series,keywords_search_text,2047,71,3.47
book series,funder_name_missing_flag,2047,2047,100.0
book series,funder_doi_missing_flag,2047,2047,100.0
book series,funder_identifier_missing_flag,2047,2047,100.0
book series,funder_award_missing_flag,2047,2047,100.0
book series,license_missing_flag,2047,2047,100.0
book series,license_url_missing_flag,2047,2047,100.0
book series,pdf_url_missing_flag,2047,2047,100.0
book series,author_orcids_missing_flag,2047,2047,100.0
book series,article_number_missing_flag,2047,2047,100.0
book series,authors_clean,2047,2047,100.0
book series,author_disambiguation_available_flag,2047,2047,100.0
conference,source_dataset,932,932,100.0
conference,source_institution_id,932,296,31.76
conference,source_record_id,932,932,100.0
conference,source_datestamp,932,296,31.76
conference,openalex_id,932,932,100.0
conference,doi,932,836,89.7
conference,url,932,932,100.0
conference,pdf_url,932,226,24.25
conference,title,932,932,100.0
conference,abstract,932,419,44.96
conference,keywords,932,295,31.65
conference,publication_year,932,932,100.0
conference,publication_date,932,932,100.0
conference,type,932,932,100.0
conference,authors,932,932,100.0
conference,author_count,932,932,100.0
conference,author_affiliations,932,932,100.0
conference,author_orcids,932,7,0.75
conference,sri_lankan_authors,932,932,100.0
conference,contributors,932,137,14.7
conference,institutions,932,932,100.0
conference,sri_lankan_institutions,932,932,100.0
conference,countries,932,932,100.0
conference,publisher,932,829,88.95
conference,journal,932,932,100.0
conference,source_type,932,932,100.0
conference,issn,932,282,30.26
conference,issn_l,932,282,30.26
conference,volume,932,301,32.3
conference,issue,932,99,10.62
conference,first_page,932,805,86.37
conference,last_page,932,802,86.05
conference,article_number,932,5,0.54
conference,language,932,932,100.0
conference,license,932,144,15.45
conference,license_url,932,603,64.7
conference,oa_status,932,932,100.0
conference,is_oa,932,932,100.0
conference,citation_count,932,932,100.0
conference,reference_count,932,932,100.0
conference,concepts,932,932,100.0
conference,topics,932,932,100.0
conference,primary_topic,932,932,100.0
conference,primary_field,932,932,100.0
conference,primary_subfield,932,932,100.0
conference,primary_domain,932,932,100.0
conference,funder_name,932,77,8.26
conference,funder_doi,932,77,8.26
conference,funder_identifier,932,77,8.26
conference,funder_award,932,8,0.86
conference,source_set_specs,932,291,31.22
conference,raw_identifiers,932,296,31.76
conference,citation_count_difference_oa_minus_crossref,932,829,88.95
conference,citation_count_divergence_flag,932,829,88.95
conference,reference_count_difference_oa_minus_crossref,932,829,88.95
conference,reference_count_divergence_flag,932,829,88.95
conference,title_search_text,932,932,100.0
conference,abstract_search_text,932,419,44.96
conference,abstract_missing_flag,932,932,100.0
conference,keywords_search_text,932,295,31.65
conference,funder_name_missing_flag,932,932,100.0
conference,funder_doi_missing_flag,932,932,100.0
conference,funder_identifier_missing_flag,932,932,100.0
conference,funder_award_missing_flag,932,932,100.0
conference,license_missing_flag,932,932,100.0
conference,license_url_missing_flag,932,932,100.0
conference,pdf_url_missing_flag,932,932,100.0
conference,author_orcids_missing_flag,932,932,100.0
conference,article_number_missing_flag,932,932,100.0
conference,authors_clean,932,932,100.0
conference,author_disambiguation_available_flag,932,932,100.0
ebook platform,source_dataset,816,816,100.0
ebook platform,source_institution_id,816,7,0.86
ebook platform,source_record_id,816,816,100.0
ebook platform,source_datestamp,816,7,0.86
ebook platform,openalex_id,816,816,100.0
ebook platform,doi,816,814,99.75
ebook platform,url,816,816,100.0
ebook platform,pdf_url,816,57,6.99
ebook platform,title,816,816,100.0
ebook platform,abstract,816,132,16.18
ebook platform,keywords,816,7,0.86
ebook platform,publication_year,816,816,100.0
ebook platform,publication_date,816,816,100.0
ebook platform,type,816,816,100.0
ebook platform,authors,816,816,100.0
ebook platform,author_count,816,816,100.0
ebook platform,author_affiliations,816,816,100.0
ebook platform,author_orcids,816,43,5.27
ebook platform,sri_lankan_authors,816,816,100.0
ebook platform,contributors,816,0,0.0
ebook platform,institutions,816,816,100.0
ebook platform,sri_lankan_institutions,816,816,100.0
ebook platform,countries,816,816,100.0
ebook platform,publisher,816,813,99.63
ebook platform,journal,816,816,100.0
ebook platform,source_type,816,816,100.0
ebook platform,issn,816,9,1.1
ebook platform,issn_l,816,9,1.1
ebook platform,volume,816,0,0.0
ebook platform,issue,816,0,0.0
ebook platform,first_page,816,735,90.07
ebook platform,last_page,816,735,90.07
ebook platform,article_number,816,0,0.0
ebook platform,language,816,816,100.0
ebook platform,license,816,59,7.23
ebook platform,license_url,816,546,66.91
ebook platform,oa_status,816,816,100.0
ebook platform,is_oa,816,816,100.0
ebook platform,citation_count,816,816,100.0
ebook platform,reference_count,816,816,100.0
ebook platform,concepts,816,800,98.04
ebook platform,topics,816,759,93.01
ebook platform,primary_topic,816,759,93.01
ebook platform,primary_field,816,759,93.01
ebook platform,primary_subfield,816,759,93.01
ebook platform,primary_domain,816,759,93.01
ebook platform,funder_name,816,0,0.0
ebook platform,funder_doi,816,0,0.0
ebook platform,funder_identifier,816,0,0.0
ebook platform,funder_award,816,0,0.0
ebook platform,source_set_specs,816,4,0.49
ebook platform,raw_identifiers,816,7,0.86
ebook platform,citation_count_difference_oa_minus_crossref,816,809,99.14
ebook platform,citation_count_divergence_flag,816,809,99.14
ebook platform,reference_count_difference_oa_minus_crossref,816,809,99.14
ebook platform,reference_count_divergence_flag,816,809,99.14
ebook platform,title_search_text,816,816,100.0
ebook platform,abstract_search_text,816,132,16.18
ebook platform,abstract_missing_flag,816,816,100.0
ebook platform,keywords_search_text,816,7,0.86
ebook platform,funder_name_missing_flag,816,816,100.0
ebook platform,funder_doi_missing_flag,816,816,100.0
ebook platform,funder_identifier_missing_flag,816,816,100.0
ebook platform,funder_award_missing_flag,816,816,100.0
ebook platform,license_missing_flag,816,816,100.0
ebook platform,license_url_missing_flag,816,816,100.0
ebook platform,pdf_url_missing_flag,816,816,100.0
ebook platform,author_orcids_missing_flag,816,816,100.0
ebook platform,article_number_missing_flag,816,816,100.0
ebook platform,authors_clean,816,816,100.0
ebook platform,author_disambiguation_available_flag,816,816,100.0
journal,source_dataset,56553,56553,100.0
journal,source_institution_id,56553,19866,35.13
journal,source_record_id,56553,56553,100.0
journal,source_datestamp,56553,19866,35.13
journal,openalex_id,56553,47742,84.42
journal,doi,56553,56235,99.44
journal,url,56553,56553,100.0
journal,pdf_url,56553,26147,46.23
journal,title,56553,56543,99.98
journal,abstract,56553,32183,56.91
journal,keywords,56553,2093,3.7
journal,publication_year,56553,56553,100.0
journal,publication_date,56553,56553,100.0
journal,type,56553,56553,100.0
journal,authors,56553,56550,99.99
journal,author_count,56553,47742,84.42
journal,author_affiliations,56553,47742,84.42
journal,author_orcids,56553,19191,33.93
journal,sri_lankan_authors,56553,47742,84.42
