column,present_rows,rows_with_multiple_values,multi_value_present_pct,mean_items_per_present_row,max_items_in_one_row
source_dataset,129512,74740,57.71,1.76,4
authors,128427,97506,75.92,5.64,2493
keywords,49123,44763,91.12,4.24,42
author_affiliations,73264,47856,65.32,4.01,495
author_orcids,21659,10983,50.71,2.82,284
sri_lankan_authors,73256,44063,60.15,2.55,46
contributors,6508,2962,45.51,1.86,8
institutions,73257,41246,56.3,2.98,135
sri_lankan_institutions,73257,14737,20.12,1.26,12
countries,73257,31609,43.15,1.97,82
issn,52166,25921,49.69,1.51,3
concepts,73156,72534,99.15,15.24,40
topics,71783,63263,88.13,2.67,6
funder_name,10712,4398,41.06,1.91,206
funder_doi,8474,3135,37.0,1.77,103
funder_identifier,8510,3185,37.43,1.78,103
funder_award,7328,2986,40.75,1.99,96
source_set_specs,28722,28722,100.0,4.32,15
raw_identifiers,70112,50469,71.98,3.0,34
