primary_field,rows,pct
unknown,57729,44.57
Medicine,14491,11.19
Engineering,7212,5.57
Social Sciences,6992,5.4
Environmental Science,6701,5.17
Agricultural and Biological Sciences,5862,4.53
Computer Science,5192,4.01
"Business, Management and Accounting",4086,3.15
"Biochemistry, Genetics and Molecular Biology",3428,2.65
Psychology,2213,1.71
"Economics, Econometrics and Finance",2166,1.67
Arts and Humanities,2114,1.63
Health Professions,1769,1.37
Earth and Planetary Sciences,1610,1.24
Materials Science,1517,1.17
Decision Sciences,1092,0.84
Immunology and Microbiology,890,0.69
Chemistry,718,0.55
Nursing,641,0.49
Neuroscience,638,0.49
Energy,609,0.47
Physics and Astronomy,580,0.45
Mathematics,431,0.33
Dentistry,387,0.3
"Pharmacology, Toxicology and Pharmaceutics",287,0.22
Veterinary,96,0.07
Chemical Engineering,61,0.05
