column,rank,value,rows,pct_of_dataset
source_dataset,1,openalex; crossref,51984,40.138
source_dataset,2,repositories_combined,47378,36.582
source_dataset,3,openalex; crossref; sljol; repositories_combined,9083,7.013
source_dataset,4,sljol; repositories_combined,8811,6.803
source_dataset,5,openalex,7343,5.67
source_dataset,6,openalex; crossref; repositories_combined,4688,3.62
source_dataset,7,openalex; crossref; repositories_combined; sljol,113,0.087
source_dataset,8,crossref,51,0.039
source_dataset,9,crossref; openalex,22,0.017
source_dataset,10,openalex; sljol; repositories_combined,14,0.011
source_dataset,11,repositories_combined; sljol,11,0.008
source_dataset,12,openalex; repositories_combined,9,0.007
source_dataset,13,crossref; repositories_combined,4,0.003
source_dataset,14,crossref; openalex; repositories_combined,1,0.001
source_institution_id,1,sljol,17617,13.603
source_institution_id,2,ruh,10630,8.208
source_institution_id,3,uom,10230,7.899
source_institution_id,4,jfn_research,7453,5.755
source_institution_id,5,seu,4004,3.092
source_institution_id,6,uwu,3812,2.943
source_institution_id,7,pdn,3296,2.545
source_institution_id,8,sliit,3122,2.411
source_institution_id,9,cmb,2656,2.051
source_institution_id,10,jfn_medicine,2527,1.951
source_institution_id,11,busl,2423,1.871
source_institution_id,12,nsf,1368,1.056
source_institution_id,13,sltc,475,0.367
source_institution_id,14,sljol; ruh,93,0.072
source_institution_id,15,ruh; sljol,60,0.046
source_institution_id,16,sljol; jfn_medicine,57,0.044
source_institution_id,17,sljol; cmb,55,0.042
source_institution_id,18,sljol; jfn_research,51,0.039
source_institution_id,19,cmb; sljol,50,0.039
source_institution_id,20,uom; sliit,38,0.029
source_record_id,1,https://openalex.org/W4238110074; 10.1002/9781118663219.wbegss081,1,0.001
source_record_id,2,https://openalex.org/W2921121004; 10.1002/9781118663219.wbegss631,1,0.001
source_record_id,3,https://openalex.org/W4200471318; 10.1002/9781119009924.eopr0063,1,0.001
source_record_id,4,https://openalex.org/W2737305979; 10.1002/9781119246329.ch17,1,0.001
source_record_id,5,https://openalex.org/W2974675620; 10.1002/9781119501800.ch4,1,0.001
source_record_id,6,https://openalex.org/W3035530209; 10.1002/9781119585640.ch16,1,0.001
source_record_id,7,https://openalex.org/W3166304279; 10.1002/9781119607045.ch24,1,0.001
source_record_id,8,https://openalex.org/W3136795594; 10.1002/9781119670186.ch19,1,0.001
source_record_id,9,https://openalex.org/W3137112139; 10.1002/9781119670186.ch23,1,0.001
source_record_id,10,https://openalex.org/W3176852916; 10.1002/9781119670391.ch27,1,0.001
source_record_id,11,https://openalex.org/W3165708168; 10.1002/9781119678595.ch24,1,0.001
source_record_id,12,https://openalex.org/W3164076550; 10.1002/9781119678595.ch26,1,0.001
source_record_id,13,https://openalex.org/W3032180582; 10.1002/9781119682042.ch1,1,0.001
source_record_id,14,https://openalex.org/W3158450736; 10.1002/9781119711308.ch3; oai:rda.sliit.lk:123456789/1812,1,0.001
