source_dataset,source_institution_id,source_record_id,source_datestamp,openalex_id,doi,url,pdf_url,title,abstract,keywords,publication_date,type,authors,author_count,author_affiliations,author_orcids,sri_lankan_authors,contributors,institutions,sri_lankan_institutions,countries,ownership_decision,ownership_class,ownership_confidence,ownership_reason,ownership_evidence,lead_country,corresponding_author_countries,has_sri_lankan_participant,has_foreign_participant,needs_manual_review,ownership_policy_version,publisher,journal,source_type,issn,issn_l,volume,issue,first_page,last_page,article_number,language,license,license_url,oa_status,is_oa,reference_count,concepts,topics,primary_topic,primary_field,primary_subfield,primary_domain,funder_name,funder_doi,funder_identifier,funder_award,source_set_specs,reference_count_difference_oa_minus_crossref,reference_count_divergence_flag,ai_classification_label,ai_classification_confidence,ai_classification_model,ai_classification_reason
openalex,,https://openalex.org/W3214840804,,https://openalex.org/W3214840804,10.1016/j.ins.2021.11.036,https://doi.org/10.1016/j.ins.2021.11.036,,Root mean square error or mean absolute error? Use their ratio as well,,,2021-11-27,article,Dulakshi Santhusitha Kumari Karunasingha,1,University of Peradeniya,,Dulakshi Santhusitha Kumari Karunasingha,,University of Peradeniya,University of Peradeniya,LK,INCLUDE,SL_DOMESTIC,MEDIUM,LK corresponding-author affiliation and no foreign affiliation indicate domestic leadership.,openalex:legacy_ownership_classification,LK,LK,True,False,False,1.0,Elsevier BV,Information Sciences,journal,0020-0255,0020-0255,585,,609,629,,en,,,closed,False,58,Mean squared error; Mathematics; Estimator; Kurtosis; Statistics; Normal distribution; Root mean square; Engineering; Electrical engineering,Hydrological Forecasting Using AI; Forecasting Techniques and Applications; Hydrology and Drought Analysis,Hydrological Forecasting Using AI,Environmental Science,Environmental Engineering,Physical Sciences,,,,,,,,AI,0.532825,/home/anusankrishnathas/Desktop/researchlanka-ai/researchlanka-ai/backend/data/models/ai_relevance/ai_relevance_linear_svm.joblib,
openalex; repositories_combined,sliit,https://openalex.org/W4226408629; oai:rda.sliit.lk:123456789/2608,2026-07-24T06:12:06Z,https://openalex.org/W4226408629,10.1016/j.cscm.2022.e01059,https://doi.org/10.1016/j.cscm.2022.e01059,https://www.sciencedirect.com/science/article/pii/S2214509522001917/pdf,A novel approach to explain the black-box nature of machine learning in compressive strength predictions of concrete using Shapley additive explanations (SHAP),"Machine learning (ML) techniques are often employed for the accurate prediction of the compressive strength of concrete. Despite higher accuracy, previous ML models failed to interpret the rationale behind predictions. Model interpretability is essential to appeal to the interest of domain experts. Therefore, overcoming research gaps identified, this research study proposes a way to predict the compressive strength of concrete using supervised ML algorithms (Decision tree, Extra tree, Adaptive boost (AdaBoost), Extreme gradient boost (XGBoost), Light gradient boosting method (LGBM), and Laplacian Kernel Ridge Regression (LKRR). Alternatively, SHapley Additive exPlainations (SHAP) – a novel black-box interpretation approach - was employed to elucidate the predictions. The comparison revealed that tree-based algorithms and LKRR provide acceptable accuracy for compressive strength predictions. Moreover, XGBoost and LKRR algorithms evinced superior performance (R ¼ 0.98). According to SHAP interpretation, XGBoost predictions capture complex relationships among the constituents. On the other hand, SHAP provides unified measures on feature importance and the impact of a variable for a prediction. Interestingly, SHAP interpretations were in accordance with what is generally observed in the compressive behavior of concrete, thus validating the causality of ML predictions.",Explainable machine learning; Compressive strength; Tree-based regression; SHAP explanation; Laplacian kernel Ridge Regression,2022-04-07,article,"I.U. Ekanayake; D.P.P. Meddage; Upaka Rathnayake; Ekanayake, I.U; Meddage, D. P. P; Rathnayake, U",3,University of Peradeniya; University of Ruhuna; Sri Lanka Institute of Information Technology,,I.U. Ekanayake; D.P.P. Meddage; Upaka Rathnayake,,University of Peradeniya; University of Ruhuna; Sri Lanka Institute of Information Technology,University of Peradeniya; University of Ruhuna; Sri Lanka Institute of Information Technology,LK,INCLUDE,SL_DOMESTIC,MEDIUM,LK corresponding-author affiliation and no foreign affiliation indicate domestic leadership.; Repository provenance is not project ownership evidence; leadership must come from author/project evidence or a DOI join.,openalex:legacy_ownership_classification; repositories_combined:source_provenance_only,LK,LK,True,False,False,1.0,Elsevier BV,Case Studies in Construction Materials,journal,2214-5095,2214-5095,16,,e01059,e01059,,en,cc-by-nc-nd,,gold,True,98,Interpretability; Compressive strength; Machine learning; Genetic programming; AdaBoost; Computer science; Artificial intelligence; Boosting (machine learning; Decision tree; Black box; Interpretation (philosophy; Regression; Mathematics; Support vector machine; Statistics; Materials science; Programming language; Composite material,Infrastructure Maintenance and Monitoring; Concrete Corrosion and Durability; Non-Destructive Testing Techniques,Infrastructure Maintenance and Monitoring,Engineering,Civil and Structural Engineering,Physical Sciences,,,,,com_123456789_4203; com_123456789_4195; com_123456789_4194; col_123456789_598,,,AI,0.857808,/home/anusankrishnathas/Desktop/researchlanka-ai/researchlanka-ai/backend/data/models/ai_relevance/ai_relevance_linear_svm.joblib,
openalex; crossref,,https://openalex.org/W3127861532; 10.1155/2021/6679512,,https://openalex.org/W3127861532,10.1155/2021/6679512,https://doi.org/10.1155/2021/6679512,https://downloads.hindawi.com/journals/jhe/2021/6679512.pdf,Involvement of Machine Learning Tools in Healthcare Decision Making,"In the present day, there are many diseases which need to be identified at their early stages to start relevant treatments. If not, they could be uncurable and deadly. Due to this reason, there is a need of analysing complex medical data, medical reports, and medical images at a lesser time but with greater accuracy. There are even some instances where certain abnormalities cannot be directly recognized by humans. In healthcare for computational decision making, machine learning approaches are being used in these types of situations where a crucial data analysis needs to be performed on medical data to reveal hidden relationships or abnormalities which are not visible to humans. Implementing algorithms to perform such tasks itself is difficult, but what makes it even more challenging is to increase the accuracy of the algorithm while decreasing the required time for the algorithm to execute. In the early days, processing of large amount of medical data was an important task which resulted in machine learning being adapted in the biological domain. Since this happened, the biology and biomedical fields have been reaching higher levels by exploring more knowledge and identifying relationships which were never observed before. Reaching to its peak now the concern is being diverted towards treating patients not only based on the type of disease but also their genetics, which is known as precision medicine. Modifications in machine learning algorithms are being performed and tested daily to improve the performance of the algorithms in analysing and presenting more accurate information. In the healthcare field, starting from information extraction from medical documents until the prediction or diagnosis of a disease, machine learning has been involved. Medical imaging is a section that was greatly improved with the integration of machine learning algorithms to the field of computational biology. Nowadays, many disease diagnoses are being performed by medical image processing using machine learning algorithms. In addition, patient care, resource allocation, and research on treatments for various diseases are also being performed using machine learning-based computational decision making. Throughout this paper, various machine learning algorithms and approaches that are being used for decision making in the healthcare sector will be discussed along with the involvement of machine learning in healthcare applications in the current context. With the explored knowledge, it was evident that neural network-based deep learning methods have performed extremely well in the field of computational biology with the support of the high processing power of modern sophisticated computers and are being extensively applied because of their high predicting accuracy and reliability. When giving concern towards the big picture by combining the observations, it is noticeable that computational biology and biomedicine-based decision making in healthcare have now become dependent on machine learning algorithms, and thus they cannot be separated from the field of artificial intelligence.",,2021-01-27,journal-article,Senerath Mudalige Don Alexis Chinthaka Jayatilake; Gamage Upeksha Ganegoda,2,"University of Moratuwa; Faculty of Information Technology, University of Moratuwa, Katubedda, Moratuwa, Sri Lanka",https://orcid.org/0000-0002-0525-2472; https://orcid.org/0000-0002-1745-9112,Senerath Mudalige Don Alexis Chinthaka Jayatilake; Gamage Upeksha Ganegoda,,University of Moratuwa,University of Moratuwa,LK,INCLUDE,SL_DOMESTIC,MEDIUM,LK corresponding-author affiliation and no foreign affiliation indicate domestic leadership.; Crossref row lacks explicit corresponding/project-lead evidence; affiliation or first-author candidate evidence requires review.,openalex:legacy_ownership_classification; crossref:missing_or_legacy_ownership_fields,LK,LK,True,False,False,1.0,Wiley,Journal of Healthcare Engineering,journal,2040-2295; 2040-2309,2040-2309,2021,,1,20,,en,cc-by,https://creativecommons.org/licenses/by/4.0/,hybrid,True,60,Machine learning; Artificial intelligence; Task (project management; Field (mathematics; Health care; Computer science; Domain (mathematical analysis; Data science; Precision medicine; Medicine; Engineering; Mathematics; Economic growth; Systems engineering; Mathematical analysis; Pure mathematics; Economics; Pathology,Artificial Intelligence in Healthcare; Artificial Intelligence in Healthcare and Education; COVID-19 diagnosis using AI,Artificial Intelligence in Healthcare,Health Professions,Health Information Management,Health Sciences,,,,,,5,True,AI,0.906396,/home/anusankrishnathas/Desktop/researchlanka-ai/researchlanka-ai/backend/data/models/ai_relevance/ai_relevance_linear_svm.joblib,
openalex,,https://openalex.org/W4385391093,,https://openalex.org/W4385391093,10.1016/j.engappai.2023.106669,https://doi.org/10.1016/j.engappai.2023.106669,,Semantic segmentation using Vision Transformers: A survey,,,2023-07-29,article,Hans Thisanke; Chamli Deshan; Kavindu Chamith; Sachith Seneviratne; Rajith Vidanaarachchi; Damayanthi Herath,6,University of Peradeniya; The University of Melbourne,,Hans Thisanke; Chamli Deshan; Kavindu Chamith; Damayanthi Herath,,University of Peradeniya; The University of Melbourne,University of Peradeniya,AU; LK,INCLUDE,SL_OWNED_INTERNATIONAL,MEDIUM,LK corresponding-author affiliation indicates country leadership; foreign authors are collaborators.,openalex:legacy_ownership_classification,LK,LK,True,True,False,1.0,Elsevier BV,Engineering Applications of Artificial Intelligence,journal,0952-1976,0952-1976,126,,106669,106669,,en,,,closed,False,96,Computer science; Segmentation; Convolutional neural network; Benchmarking; Artificial intelligence; Image segmentation; Segmentation-based object categorization; Transformer; Machine learning; Scale-space segmentation; Computer vision; Pattern recognition (psychology; Quantum mechanics; Physics; Business; Marketing; Voltage,Advanced Neural Network Applications; COVID-19 diagnosis using AI; Domain Adaptation and Few-Shot Learning,Advanced Neural Network Applications,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences,,,,,,,,AI,0.933085,/home/anusankrishnathas/Desktop/researchlanka-ai/researchlanka-ai/backend/data/models/ai_relevance/ai_relevance_linear_svm.joblib,
openalex; repositories_combined,sliit,https://openalex.org/W2966531722; oai:rda.sliit.lk:123456789/2096,2026-02-15T05:24:08Z,https://openalex.org/W2966531722,10.1109/confluence.2019.8776942,https://doi.org/10.1109/confluence.2019.8776942,,Real-time Credit Card Fraud Detection Using Machine Learning,"Credit card fraud events take place frequently and then result in huge financial losses [1]. The number of online transactions has grown in large quantities and online credit card transactions holds a huge share of these transactions. Therefore, banks and financial institutions offer credit card fraud detection applications much value and demand. Fraudulent transactions can occur in various ways and can be put into different categories. This paper focuses on four main fraud occasions in real-world transactions. Each fraud is addressed using a series of machine learning models and the best method is selected via an evaluation. This evaluation provides a comprehensive guide to selecting an optimal algorithm with respect to the type of the frauds and we illustrate the evaluation with an appropriate performance measure. Another major key area that we address in our project is real-time credit card fraud detection. For this, we take the use of predictive analytics done by the implemented machine learning models and an API module to decide if a particular transaction is genuine or fraudulent. We also assess a novel strategy that effectively addresses the skewed distribution of data. The data used in our experiments come from a financial institution according to a confidential disclosure agreement.",Real-time; Credit Card; Fraud Detection; Machine Learning,2019-01-01,conference-paper,"Anuruddha Thennakoon; Chee Bhagyani; Sasitha Premadasa; Shalitha Mihiranga; N. Kuruwitaarachchi; Thennakoon, A; Bhagyani, C; Premadasa, S; Mihiranga, S; Kuruwitaarachchi, N",5,Sri Lanka Institute of Information Technology,,Anuruddha Thennakoon; Chee Bhagyani; Sasitha Premadasa; Shalitha Mihiranga; N. Kuruwitaarachchi,,Sri Lanka Institute of Information Technology,Sri Lanka Institute of Information Technology,LK,INCLUDE,SL_DOMESTIC,MEDIUM,LK corresponding-author affiliation and no foreign affiliation indicate domestic leadership.; Repository provenance is not project ownership evidence; leadership must come from author/project evidence or a DOI join.,openalex:legacy_ownership_classification; repositories_combined:source_provenance_only,LK,LK,True,False,False,1.0,IEEE,,repository,,,,,488,493,,en,,,closed,False,17,Credit card fraud; Credit card; Computer science; Database transaction; Financial institution; Chargeback; Confidentiality; Financial transaction; Transaction data; Financial fraud; Analytics; Computer security; Key (lock; Machine learning; Artificial intelligence; Card security code; Finance; Data mining; Database; Business; Accounting; World Wide Web; Payment,Imbalanced Data Classification Techniques; Financial Distress and Bankruptcy Prediction; Cybercrime and Law Enforcement Studies,Imbalanced Data Classification Techniques,Computer Science,Artificial Intelligence,Physical Sciences,,,,,com_123456789_4202; com_123456789_4195; com_123456789_4194; col_123456789_1253,,,AI,0.540623,/home/anusankrishnathas/Desktop/researchlanka-ai/researchlanka-ai/backend/data/models/ai_relevance/ai_relevance_linear_svm.joblib,
openalex,,https://openalex.org/W4210813666,,https://openalex.org/W4210813666,10.1007/s00521-022-06953-8,https://doi.org/10.1007/s00521-022-06953-8,https://link.springer.com/content/pdf/10.1007/s00521-022-06953-8.pdf,Pooling in convolutional neural networks for medical image analysis: a survey and an empirical study,,,2022-02-01,article,Rajendran Nirthika; Siyamalan Manivannan; Amirthalingam Ramanan; Ruixuan Wang,4,University of Jaffna; Sun Yat-sen University,,Rajendran Nirthika; Siyamalan Manivannan; Amirthalingam Ramanan,,University of Jaffna; Sun Yat-sen University,University of Jaffna,CN; LK,INCLUDE,SL_OWNED_INTERNATIONAL,MEDIUM,LK corresponding-author affiliation indicates country leadership; foreign authors are collaborators.,openalex:legacy_ownership_classification,LK,LK,True,True,False,1.0,Springer Science+Business Media,Neural Computing and Applications,journal,0941-0643,0941-0643,34,7,5321,5347,,en,,,bronze,True,134,Pooling; Computer science; Overfitting; Convolutional neural network; Artificial intelligence; Contextual image classification; Pattern recognition (psychology; Machine learning; Set (abstract data type; Image (mathematics; Data mining; Artificial neural network; Programming language,Advanced Neural Network Applications; Retinal Imaging and Analysis; Medical Image Segmentation Techniques,Advanced Neural Network Applications,Computer Science,Computer Vision and Pattern Recognition,Physical Sciences,,,,,,,,AI,0.900480,/home/anusankrishnathas/Desktop/researchlanka-ai/researchlanka-ai/backend/data/models/ai_relevance/ai_relevance_linear_svm.joblib,
openalex,,https://openalex.org/W3087845791,,https://openalex.org/W3087845791,10.1007/s42979-020-00326-5,https://doi.org/10.1007/s42979-020-00326-5,,Reinforcement Learning in Dynamic Task Scheduling: A Review,,,2020-09-24,article,Chathurangi Shyalika; Thushari Silva; Asoka S. Karunananda,3,University of Moratuwa,,Chathurangi Shyalika; Thushari Silva; Asoka S. Karunananda,,University of Moratuwa,University of Moratuwa,LK,INCLUDE,SL_DOMESTIC,MEDIUM,LK corresponding-author affiliation and no foreign affiliation indicate domestic leadership.,openalex:legacy_ownership_classification,LK,LK,True,False,False,1.0,Springer Nature,SN Computer Science,journal,2661-8907,2661-8907,1,6,,,,en,,,closed,False,37,Reinforcement learning; Computer science; Dynamic priority scheduling; Two-level scheduling; Scheduling (production processes; Fixed-priority pre-emptive scheduling; Rate-monotonic scheduling; Fair-share scheduling; Distributed computing; Round-robin scheduling; Dynamic decision-making; Artificial intelligence; Schedule; Engineering; Operations management; Operating system,Reinforcement Learning in Robotics; Scheduling and Optimization Algorithms; Optimization and Search Problems,Reinforcement Learning in Robotics,Computer Science,Artificial Intelligence,Physical Sciences,,,,,,,,AI,0.663456,/home/anusankrishnathas/Desktop/researchlanka-ai/researchlanka-ai/backend/data/models/ai_relevance/ai_relevance_linear_svm.joblib,
openalex; repositories_combined,sliit,https://openalex.org/W2784081781; oai:rda.sliit.lk:123456789/1857; oai:rda.sliit.lk:123456789/2197,2026-02-15T05:20:03Z; 2026-02-15T05:25:06Z,https://openalex.org/W2784081781,10.1109/bibe.2017.00-39,https://doi.org/10.1109/bibe.2017.00-39,,Performance Evaluation on Machine Learning Classification Techniques for Disease Classification and Forecasting through Data Analytics for Chronic Kidney Disease (CKD),"Chronic Kidney Disease (CKD) is considered as kidney damage which lasts longer than three months. In Sri Lanka, CKD has become a severe problem in the present days due to CKD of unknown aetiology (CKDu) that can be seen popularly in North Central Province. Identifying CKD in the initial stage is important to provide necessary treatments to prevent or cure the disease. In this work main focus is on predicting the patient's status of CKD or non CKD. To predict the value in machine learning classification algorithms have been used. Classification models have been built with different classification algorithms will predict the CKD and non CKD status of the patient. These models have applied on recently collected CKD dataset downloaded from the UCI repository with 400 data records and 25 attributes. Results of different models are compared. From the comparison it has been observed that the model with Multiclass Decision forest algorithm performed best with an accuracy of 99.1% for the reduced dataset with the 14 attributes.",Performance Evaluation; Machine Learning; Classification Techniques; Disease Classification; Forecasting; Data Analytics; Chronic Kidney Disease,2017-10-01,conference-paper,"W.H.S.D Gunarathne; K.D.M Perera; K.A.D.C.P. Kahandawaarachchi; Gunarathne, W. H. S. D; Perera, K. D. M; Kahandawaarachchi, K. A. D. C. P",3,Sri Lanka Institute of Information Technology,,W.H.S.D Gunarathne; K.D.M Perera; K.A.D.C.P. Kahandawaarachchi,,Sri Lanka Institute of Information Technology,Sri Lanka Institute of Information Technology,LK,INCLUDE,SL_DOMESTIC,MEDIUM,LK corresponding-author affiliation and no foreign affiliation indicate domestic leadership.; Repository provenance is not project ownership evidence; leadership must come from author/project evidence or a DOI join.,openalex:legacy_ownership_classification; repositories_combined:source_provenance_only,LK,LK,True,False,False,1.0,IEEE,,repository,,,,,291,296,,en,,,closed,False,9,Kidney disease; Computer science; Machine learning; Disease; Artificial intelligence; Medicine; Statistical classification; Sri lanka; Predictive modelling; Analytics; Data mining; Intensive care medicine; Internal medicine; South asia; History; Ethnology,Artificial Intelligence in Healthcare,Artificial Intelligence in Healthcare,Health Professions,Health Information Management,Health Sciences,,,,,com_123456789_4202; com_123456789_4195; com_123456789_4194; col_123456789_1253,,,AI,0.796059,/home/anusankrishnathas/Desktop/researchlanka-ai/researchlanka-ai/backend/data/models/ai_relevance/ai_relevance_linear_svm.joblib,
openalex; repositories_combined,uom,https://openalex.org/W4285736274; oai:dl.lib.uom.lk:123/21138,2025-02-17T15:05:01Z,https://openalex.org/W4285736274,10.1016/j.asoc.2022.109319,https://doi.org/10.1016/j.asoc.2022.109319,,Chest X-ray analysis empowered with deep learning: A systematic review,"Chest radiographs are widely used in the medical domain and at present, chest X-radiation particularly plays an important role in the diagnosis of medical conditions such as pneumonia and COVID-19 disease. The recent developments of deep learning techniques led to a promising performance in medical image classification and prediction tasks. With the availability of chest X-ray datasets and emerging trends in data engineering techniques, there is a growth in recent related publications. Recently, there have been only a few survey papers that addressed chest X-ray classification using deep learning techniques. However, they lack the analysis of the trends of recent studies. This systematic review paper explores and provides a comprehensive analysis of the related studies that have used deep learning techniques to analyze chest X-ray images. We present the state-of-the-art deep learning based pneumonia and COVID-19 detection solutions, trends in recent studies, publicly available datasets, guidance to follow a deep learning process, challenges and potential future research directions in this domain. The discoveries and the conclusions of the reviewed work have been organized in a way that researchers and developers working in the same domain can use this work to support them in taking decisions on their research.",Respiratory diseases; Radiography; Pneumonia; COVID-19; Convolutional Neural networks; Computer-aided diagnostics; Medical image processing; Chest radiography,2022-07-18,review,"Dulani Meedeniya; Hashara Kumarasinghe; Shammi Kolonne; Chamodi Fernando; Isabel de la Torre Díez; Gonçalo Marques; Meedeniya, D; Kumarasinghe, H; Kolonne, S; Fernando, C; Díez, IDLT; Marques, G",6,University of Moratuwa; Universidad de Valladolid,,Dulani Meedeniya; Hashara Kumarasinghe; Shammi Kolonne; Chamodi Fernando,,University of Moratuwa; Universidad de Valladolid,University of Moratuwa,ES; LK,INCLUDE,SL_OWNED_INTERNATIONAL,MEDIUM,LK corresponding-author affiliation indicates country leadership; foreign authors are collaborators.; Repository provenance is not project ownership evidence; leadership must come from author/project evidence or a DOI join.,openalex:legacy_ownership_classification; repositories_combined:source_provenance_only,LK,LK,True,True,False,1.0,Elsevier BV,Applied Soft Computing,journal,1568-4946,1568-4946,126,,109319,109319,,en,,,green,True,162,Deep learning; Computer science; Artificial intelligence; Domain (mathematical analysis; Data science; Coronavirus disease 2019 (COVID-19; Systematic review; Machine learning; Pneumonia; MEDLINE; Medicine; Disease; Pathology; Infectious disease (medical specialty; Mathematical analysis; Mathematics; Political science; Law; Internal medicine,COVID-19 diagnosis using AI; Radiomics and Machine Learning in Medical Imaging; Lung Cancer Diagnosis and Treatment,COVID-19 diagnosis using AI,Medicine,"Radiology, Nuclear Medicine and Imaging",Health Sciences,,,,,com_123_2105; com_123_2098; col_123_19622,,,AI,0.831772,/home/anusankrishnathas/Desktop/researchlanka-ai/researchlanka-ai/backend/data/models/ai_relevance/ai_relevance_linear_svm.joblib,
openalex,,https://openalex.org/W2794343888,,https://openalex.org/W2794343888,10.1109/iciinfs.2017.8300345,https://doi.org/10.1109/iciinfs.2017.8300345,,A recurrent neural network approach in predicting daily stock prices an application to the Sri Lankan stock market,,,2017-12-01,conference-paper,A.J.P. Samarawickrama; T.G.I. Fernando,2,University of Sri Jayewardenepura,,A.J.P. Samarawickrama; T.G.I. Fernando,,University of Sri Jayewardenepura,University of Sri Jayewardenepura,LK,INCLUDE,SL_DOMESTIC,MEDIUM,LK corresponding-author affiliation and no foreign affiliation indicate domestic leadership.,openalex:legacy_ownership_classification,LK,LK,True,False,False,1.0,,,,,,,,1,6,,en,,,closed,False,15,Recurrent neural network; Feed forward; Feedforward neural network; Computer science; Artificial neural network; Artificial intelligence; Stock (firearms; Long short term memory; Stock market; Stock exchange; Closing (real estate; Machine learning; Econometrics; Finance; Mathematics; Engineering; Economics; Control engineering; Horse; Mechanical engineering; Paleontology; Biology,Neural Networks and Applications; Stock Market Forecasting Methods; Time Series Analysis and Forecasting,Neural Networks and Applications,Computer Science,Artificial Intelligence,Physical Sciences,,,,,,,,AI,0.841259,/home/anusankrishnathas/Desktop/researchlanka-ai/researchlanka-ai/backend/data/models/ai_relevance/ai_relevance_linear_svm.joblib,
